marker;iteration;timestamp;sens.KITGripperFTSensor.tz;sens.TestBenchMotor.position;sens.TestBenchMotor.targetPWM;sens.TestBenchMotor.velocityTicksPerMs;sens.TestBenchMotor.rawVelocity;sens.TestBenchMotor.filteredVelocity;ctrl.TestBenchMotor.ControlMode_Velocity1DoF.velocity
;545680;1560955004922236;0.062001;-2.871063;-25;-1.000000;0.000000;0.000378;nan
;545681;1560955004923237;0.062001;-2.871067;-33;0.000000;-0.003779;-0.000378;nan
;545682;1560955004924243;0.061945;-2.871067;-33;1.000000;0.000000;-0.000378;nan
;545683;1560955004925271;0.061890;-2.871063;-19;-1.000000;0.003779;0.000000;nan
;545684;1560955004926238;0.061862;-2.871067;-31;1.000000;-0.003779;-0.000378;nan
;545685;1560955004927227;0.061833;-2.871063;-25;-1.000000;0.003779;0.000378;nan
;545686;1560955004928234;0.061833;-2.871067;-31;0.000000;-0.003779;-0.000378;nan
;545687;1560955004929280;0.061833;-2.871067;-19;1.000000;0.000000;0.000000;nan
;545688;1560955004930255;0.061862;-2.871063;-19;0.000000;0.003779;0.000000;nan
;545689;1560955004931252;0.061890;-2.871063;-14;-1.000000;0.000000;0.000000;nan
;545690;1560955004932254;0.061929;-2.871067;-32;1.000000;-0.003779;-0.000378;nan
;545691;1560955004933253;0.061969;-2.871063;-25;-1.000000;0.003779;0.000378;nan
;545692;1560955004934211;0.061979;-2.871067;-15;0.000000;-0.003779;0.000000;nan
;545693;1560955004935218;0.061979;-2.871067;-32;1.000000;0.000000;-0.000378;nan
;545694;1560955004936321;0.061979;-2.871063;-25;0.000000;0.003779;0.000378;nan
;545695;1560955004937271;0.061989;-2.871063;-15;0.000000;0.000000;0.000000;nan
;545696;1560955004938211;0.062009;-2.871063;-25;0.000000;0.000000;0.000378;nan
;545697;1560955004939216;0.061999;-2.871063;-25;0.000000;0.000000;0.000378;nan
;545698;1560955004940217;0.061999;-2.871063;-19;0.000000;0.000000;0.000000;nan
;545699;1560955004941223;0.062021;-2.871063;-19;-1.000000;0.000000;0.000000;nan
;545700;1560955004942219;0.062014;-2.871067;-19;1.000000;-0.003779;0.000000;nan
;545701;1560955004943228;0.061974;-2.871063;-19;-1.000000;0.003779;0.000000;nan
;545702;1560955004944236;0.061935;-2.871067;-15;1.000000;-0.003779;0.000000;nan
;545703;1560955004945242;0.061935;-2.871063;-25;-1.000000;0.003779;0.000378;nan
;545704;1560955004946301;0.061935;-2.871067;-29;1.000000;-0.003779;-0.000378;nan
;545705;1560955004947227;0.061892;-2.871063;-19;0.000000;0.003779;0.000000;nan
;545706;1560955004948226;0.061857;-2.871063;-15;0.000000;0.000000;0.000000;nan
;545707;1560955004949265;0.061857;-2.871063;-15;-1.000000;0.000000;0.000000;nan
;545708;1560955004950234;0.061857;-2.871067;-27;1.000000;-0.003779;-0.000378;nan
;545709;1560955004951227;0.061857;-2.871063;-19;-1.000000;0.003779;0.000000;nan
;545710;1560955004952227;0.061857;-2.871067;-15;1.000000;-0.003779;0.000000;nan
;545711;1560955004953226;0.061865;-2.871063;-19;0.000000;0.003779;0.000000;nan
;545712;1560955004954243;0.061865;-2.871063;-26;-1.000000;0.000000;0.000378;nan
;545713;1560955004955233;0.061865;-2.871067;-27;0.000000;-0.003779;-0.000378;nan
;545714;1560955004956250;0.061865;-2.871067;-19;1.000000;0.000000;0.000000;nan
;545715;1560955004957222;0.061865;-2.871063;-19;0.000000;0.003779;0.000000;nan
;545716;1560955004958227;0.061829;-2.871063;-15;0.000000;0.000000;0.000000;nan
;545717;1560955004959226;0.061826;-2.871063;-15;-1.000000;0.000000;0.000000;nan
;545718;1560955004960234;0.061826;-2.871067;-16;0.000000;-0.003779;0.000000;nan
;545719;1560955004961235;0.061826;-2.871067;-27;0.000000;0.000000;-0.000378;nan
;545720;1560955004962214;0.061826;-2.871067;-18;1.000000;0.000000;0.000000;nan
;545721;1560955004963195;0.061826;-2.871063;-18;-1.000000;0.003779;0.000000;nan
;545722;1560955004964208;0.061859;-2.871067;-23;1.000000;-0.003779;-0.000378;nan
;545723;1560955004965219;0.061881;-2.871063;-26;0.000000;0.003779;0.000378;nan
;545724;1560955004966216;0.061903;-2.871063;-26;0.000000;0.000000;0.000378;nan
;545725;1560955004967200;0.061910;-2.871063;-18;-1.000000;0.000000;0.000000;nan
;545726;1560955004968228;0.061918;-2.871067;-26;1.000000;-0.003779;-0.000378;nan
;545727;1560955004969216;0.061920;-2.871063;-18;0.000000;0.003779;0.000000;nan
;545728;1560955004970245;0.061922;-2.871063;-26;-1.000000;0.000000;0.000378;nan
;545729;1560955004971208;0.061925;-2.871067;-19;1.000000;-0.003779;0.000000;nan
;545730;1560955004972239;0.061928;-2.871063;-26;0.000000;0.003779;0.000378;nan
;545731;1560955004973249;0.061931;-2.871063;-15;0.000000;0.000000;0.000000;nan
;545732;1560955004974237;0.061928;-2.871063;-26;0.000000;0.000000;0.000378;nan
;545733;1560955004975208;0.061928;-2.871063;-19;-1.000000;0.000000;0.000000;nan
;545734;1560955004976236;0.061926;-2.871067;-24;1.000000;-0.003779;-0.000378;nan
;545735;1560955004977198;0.061926;-2.871063;-19;0.000000;0.003779;0.000000;nan
;545736;1560955004978242;0.061862;-2.871063;-26;-1.000000;0.000000;0.000378;nan
;545737;1560955004979237;0.061789;-2.871067;-24;1.000000;-0.003779;-0.000378;nan
;545738;1560955004980208;0.061789;-2.871063;-18;0.000000;0.003779;0.000000;nan
;545739;1560955004981236;0.061789;-2.871063;-26;0.000000;0.000000;0.000378;nan
;545740;1560955004982210;0.061783;-2.871063;-19;0.000000;0.000000;0.000000;nan
;545741;1560955004983217;0.061777;-2.871063;-19;0.000000;0.000000;0.000000;nan
;545742;1560955004984215;0.061777;-2.871063;-18;0.000000;0.000000;0.000000;nan
;545743;1560955004985207;0.061777;-2.871063;-18;0.000000;0.000000;0.000000;nan
;545744;1560955004986237;0.061777;-2.871063;-26;0.000000;0.000000;0.000378;nan
;545745;1560955004987211;0.061811;-2.871063;-18;0.000000;0.000000;0.000000;nan
